gndr,ethnic,insulin,noninsulin,metformin,hf,cardio,cerebr,periph,cursmok,unq_id
male,asian,1,0,0,0,0,0,1,1,503
male,asian,1,0,0,0,1,0,0,1,504
male,asian,1,0,0,0,0,1,0,1,505
male,asian,0,0,0,1,0,1,0,1,506
male,asian,0,0,0,1,1,0,0,1,507
male,asian,0,0,0,1,0,0,1,1,508
female,asian,1,1,0,0,0,1,0,0,509
female,asian,1,1,0,0,0,0,1,0,510
female,asian,1,1,0,0,1,0,0,0,511
female,asian,1,1,1,1,1,0,0,0,512
female,asian,1,1,1,1,0,0,1,0,513
female,asian,1,1,1,1,0,1,0,0,514
female,black,1,0,0,0,0,1,0,1,515
female,black,1,0,0,0,1,0,0,1,516
female,black,1,0,0,0,0,0,1,1,517
NA,white,0,0,0,0,1,0,0,1,518
NA,white,0,0,0,0,0,1,0,1,519
NA,white,0,0,0,0,0,0,1,1,520
NA,white,0,0,0,0,1,0,0,0,521
NA,white,0,0,0,0,0,1,0,0,522
NA,white,0,0,0,0,0,0,1,0,523
female,other,1,0,0,1,0,0,0,1,524
NA,white,1,0,0,1,0,0,0,0,525
female,asian,0,1,1,1,1,0,0,0,526
female,asian,0,1,1,1,0,1,0,0,527
female,asian,0,1,1,1,0,0,1,0,528
female,other,1,1,1,1,1,0,0,0,529
female,other,1,1,1,1,0,1,0,0,530
female,other,1,1,1,1,0,0,1,0,531
NA,asian,1,0,0,0,0,0,0,0,532
female,white,1,1,0,0,1,0,0,1,533
female,white,1,1,0,0,0,1,0,1,534
female,white,1,1,0,0,0,0,1,1,535
female,NA,0,1,1,1,0,0,0,1,536
female,black,0,1,1,0,0,0,0,1,537
female,other,1,1,1,1,0,0,0,1,538
male,other,0,1,1,1,0,0,1,0,539
male,other,0,1,1,1,1,0,0,0,540
male,other,0,1,1,1,0,1,0,0,541
male,black,0,0,0,1,1,0,0,0,542
male,black,0,0,0,1,0,1,0,0,543
male,black,0,0,0,1,0,0,1,0,544
NA,asian,1,1,0,0,0,0,0,0,545
male,black,0,1,1,1,0,0,0,1,546
male,asian,0,0,0,1,0,1,0,0,547
male,asian,0,0,0,1,1,0,0,0,548
male,asian,0,0,0,1,0,0,1,0,549
female,other,0,1,0,1,0,0,0,0,550
female,asian,1,0,0,0,0,0,0,0,551
NA,white,1,0,0,1,0,0,0,1,552
NA,white,1,1,1,1,0,0,1,0,553
NA,white,1,1,1,1,1,0,0,0,554
NA,white,1,1,1,1,0,1,0,0,555
male,asian,0,1,1,0,1,0,0,1,556
male,asian,0,1,1,0,0,1,0,1,557
male,asian,0,1,1,0,0,0,1,1,558
NA,white,1,1,0,1,1,0,0,0,559
NA,white,1,1,0,1,0,0,1,0,560
male,white,0,1,0,1,0,0,0,1,561
male,black,1,0,0,1,1,0,0,1,562
male,black,1,0,0,1,0,0,1,1,563
NA,other,0,1,0,0,1,0,0,0,564
NA,other,0,1,0,0,0,0,1,0,565
NA,other,0,1,0,0,0,1,0,0,566
female,other,0,1,1,1,1,0,0,0,567
female,other,0,1,1,1,0,0,1,0,568
female,other,0,1,1,1,0,1,0,0,569
NA,black,1,1,1,1,0,0,0,0,570
female,other,1,0,0,1,0,0,1,1,571
male,black,0,0,0,1,0,0,0,0,572
NA,NA,1,1,1,0,1,0,0,1,573
NA,NA,1,1,1,0,0,0,1,1,574
NA,NA,1,1,1,0,0,1,0,1,575
NA,other,0,1,1,1,0,0,0,0,576
NA,white,0,1,1,0,0,0,0,1,577
female,other,1,0,0,0,0,0,0,0,578
NA,white,0,1,0,0,0,1,0,0,579
NA,white,0,1,0,0,1,0,0,0,580
NA,white,0,1,0,0,0,0,1,0,581
male,other,0,0,0,1,0,0,0,1,582
female,black,1,1,0,0,1,0,0,0,583
female,black,1,1,0,0,0,0,1,0,584
female,black,1,1,0,0,0,1,0,0,585
female,black,1,1,1,1,1,0,0,0,586
